path,hunk,locator,sha256,carrier
.agent/IDENTITY.md,1,"@@ -1,443 +1,129 @@",5a04f3a5b8209894592790c1a1400f0d3d7c6ae8271e163251edfaa350144623,C07
.agent/README.md,1,"@@ -1,7 +1,7 @@",0945d0644042dec072e32724b47db31d031ad2a9abf578e16fcf9bbf152a9970,C09
.agent/README.md,2,"@@ -28,50 +28,31 @@ Then use:",033d298e3a0ba78566208b89ace13be99f8e45f6a2214244e9fcd7e7e5155abd,C09
.agent/README.md,3,"@@ -80,7 +61,8 @@ Then use:",3c7942dd5564eef30f88e7bf0cce76fbe750e2f15f475dbb650740a50ec147fe,C09
.agent/README.md,4,"@@ -104,7 +86,7 @@ Then use:",1ba718d3f88c03097156a1ea3f1e826e324596d319ec235b215b570bb4c6319b,C09
.agent/analysis-and-reports/proof-programme-loop-review-2026-08-24.md,1,"@@ -6,7 +6,7 @@ general opportunities for improvement, alongside the plan's structured legs).",a32fb558ae2862d5f87467147b1eb14677ee376dbf429ef05ff791fedcb3b34a,C09
.agent/claude-harness-integrations/account-access.md,1,"@@ -1,10 +1,14 @@",8ac050c968a8eb09ca46a1ecb38f2784b8941d00fab2050ef3ca053910bf4892,C09
.agent/claude-harness-integrations/account-access.md,2,"@@ -29,8 +33,10 @@ consumer.",715343ec3f65ab641481b64c009ff4f87a3ac6063fdb6874374c328c4a5660d7,C09
.agent/claude-harness-integrations/account-access.md,3,"@@ -49,18 +55,23 @@ in `repo-continuity.md`).",aad3f6b06a9278228f1537240dc7b62cd79d188dcd41b28cc65622f2b12ad00a,C09
.agent/claude-harness-integrations/account-portability-register.md,1,"@@ -15,21 +15,21 @@ restart on a new account hitting an account-side dependency this table does not",9976626819ca80458925926a5b7eae488cf06ab539ae48f6ed9a57ec9a4cd9c2,C09
.agent/claude-harness-integrations/account-portability-register.md,2,"@@ -53,9 +53,13 @@ same arc.",09b6ac04e704118fee9a26572206c3dbc78d9f90c33a3677711cb7da7d8791a1,C09
.agent/claude-harness-integrations/cloud-environment.md,1,"@@ -43,6 +43,54 @@ path (owner word 2026-08-24).",07012f68a34ad9d796570abd2412d211dd1188657ea8823ed7b41ef1bd2b80c2,C09
.agent/directives/ADR-044-drop-openapi3-ts-adopt-scalar-types.md,1,"@@ -1,55 +0,0 @@",ca8375b1ba0f58aba804952e83805816ad784802d5cd3ee70848aba8c36eb24c,C04
.agent/directives/ADR-045-strict-reexport-module-openapi-types.md,1,"@@ -1,79 +0,0 @@",572a54a2902e343f147cfb8e71d8b09fb929595c724b2fdbcf96fe57094e11fc,C04
.agent/directives/ADR-046-separate-storage-additional-operations.md,1,"@@ -1,45 +0,0 @@",c2eda4e26c6bb2606b603117df4ebb90055046da2ba73aea1f59e3c223f4a3b5,C04
.agent/directives/AGENT.md,1,"@@ -1,6 +1,6 @@",b0cc3e3a754adbe1fdcc4fb085e2a5a646904f8377ca35e2c53a2e7aa8a02021,C09
.agent/directives/AGENT.md,2,"@@ -12,7 +12,7 @@",db5550db8e4508160d18a4bae19d4e8d9c1e5fc5a4cf6e263d47af5ae7a417fd,C09
.agent/directives/AGENT.md,3,"@@ -23,12 +23,12 @@",cb373b1f88176598b4acb63a8a40274416e677268dbb43dd9ac0e7293236a434,C09
.agent/directives/AGENT.md,4,"@@ -52,7 +52,7 @@",8f85a3b1e69b119159678ea209576c54188894e30141d60c9b71086dce05df70,C09
.agent/directives/AGENT.md,5,"@@ -151,7 +151,7 @@ Domain experts (castr schema surface):",356fce0e8f66e6e8849be6c1a1603bd6ec8cbb2816f558cf506802e99cbc09df,C09
.agent/directives/DEFINITION_OF_DONE.md,1,"@@ -1,6 +1,6 @@",4fde2a1665ceac84848314fef62d3ac9bed978df3dfd42c298943f31dd21b62e,C07
.agent/directives/DEFINITION_OF_DONE.md,2,"@@ -30,6 +30,11 @@ Do not invoke `pnpm qg` directly. It may remain as a script implementation detai",a678676ab754d7476d5b6f095c111f44b3cdee02a7993cafd765ea91920cd277,C07
.agent/directives/DEFINITION_OF_DONE.md,3,"@@ -37,6 +42,7 @@ set -euo pipefail",b600dd15bc4e55ee16e3db5cf6015b6ed29137c84b0d6ecc96dd9b8233b94ccb,C07
.agent/directives/DEFINITION_OF_DONE.md,4,"@@ -45,9 +51,12 @@ pnpm madge:circular",ff47db41fb8584f2fb11185ca643ad8f094169393498342f2ca43016251bc31e,C07
.agent/directives/PRACTICE-VISION.md,1,"@@ -0,0 +1,66 @@",ca40c040910cca1bc4227449188617e9b5a23e9eb54d976017923ef37239f9a4,C06
.agent/directives/VISION.md,1,"@@ -1,248 +1,141 @@",9773c6e86ae2df3ce1accb36555305bca145ceb460cb2d3c419794e03f64b2b2,C06
.agent/directives/principles.md,1,"@@ -2,7 +2,7 @@",56678fc7b83e30b971f417d60f7752b05ed1a5d2aa858ae5625dc6dcc38f06fc,C07
.agent/directives/principles.md,2,"@@ -79,9 +79,9 @@ the lenses, is owner-bound. Dissolution before escalation.",e11a6724348d2868169bff0f4540c04ca2726b73c5bfe2e3734fa6425f957d91,C07
.agent/directives/principles.md,3,"@@ -116,50 +116,74 @@ graph LR",c5a4d165ad6cced96d8303ee4ce489be2bd0f35fbc47cea8d43dfead06f336cd,C07
.agent/directives/principles.md,4,"@@ -180,10 +204,10 @@ Before any work, always ask:",26f28d5e6d95fa3f75fcc7e4cef48a9f51714af8c1005a949819d27b943614d0,C07
.agent/directives/principles.md,5,"@@ -233,7 +257,7 @@ default:",fe9cac1efaf2333bb7d1681bfda854b7f6c0ab6b82cacc8ddd00e9ec864519e7,C07
